subject,intensity,seed,detected,recognized,score
Rudolph Giuliani,0.2,5,1,1,0.5806944966316223
Rudolph Giuliani,0.3,5,1,1,0.5424986481666565
Rudolph Giuliani,0.4,5,1,1,0.4438246488571167
Rudolph Giuliani,0.5,5,1,0,0.24879851937294006
Rudolph Giuliani,0.6,5,1,0,-0.04902704805135727
Rudolph Giuliani,0.7,5,0,0,nan
Rudolph Giuliani,0.8,5,0,0,nan
Rudolph Giuliani,0.9,5,0,0,nan
Rudolph Giuliani,1.0,5,0,0,nan
Junichiro Koizumi,0.0,0,1,1,0.4266374409198761
Junichiro Koizumi,0.1,0,1,1,0.42368283867836
Junichiro Koizumi,0.2,0,1,1,0.4442131817340851
Junichiro Koizumi,0.3,0,1,1,0.4245241582393646
Junichiro Koizumi,0.4,0,1,0,0.339446485042572
Junichiro Koizumi,0.5,0,1,0,0.300875723361969
Junichiro Koizumi,0.6,0,0,0,nan
Junichiro Koizumi,0.7,0,0,0,nan
Junichiro Koizumi,0.8,0,0,0,nan
Junichiro Koizumi,0.9,0,0,0,nan
Junichiro Koizumi,1.0,0,0,0,nan
Junichiro Koizumi,0.0,1,1,1,0.44557178020477295
Junichiro Koizumi,0.1,1,1,1,0.445199579000473
Junichiro Koizumi,0.2,1,1,1,0.4341587722301483
Junichiro Koizumi,0.3,1,1,1,0.4448341727256775
Junichiro Koizumi,0.4,1,1,1,0.4387148320674896
Junichiro Koizumi,0.5,1,1,1,0.3929370641708374
Junichiro Koizumi,0.6,1,1,0,0.09129822254180908
Junichiro Koizumi,0.7,1,0,0,nan
Junichiro Koizumi,0.8,1,0,0,nan
Junichiro Koizumi,0.9,1,0,0,nan
Junichiro Koizumi,1.0,1,0,0,nan
Junichiro Koizumi,0.0,2,1,1,0.6649866104125977
Junichiro Koizumi,0.1,2,1,1,0.667045533657074
Junichiro Koizumi,0.2,2,1,1,0.6754646897315979
Junichiro Koizumi,0.3,2,1,1,0.6495315432548523
Junichiro Koizumi,0.4,2,1,1,0.541333019733429
Junichiro Koizumi,0.5,2,1,1,0.5123803019523621
Junichiro Koizumi,0.6,2,1,1,0.36515864729881287
Junichiro Koizumi,0.7,2,0,0,nan
Junichiro Koizumi,0.8,2,0,0,nan
Junichiro Koizumi,0.9,2,0,0,nan
Junichiro Koizumi,1.0,2,0,0,nan
Junichiro Koizumi,0.0,3,1,1,0.5703673362731934
Junichiro Koizumi,0.1,3,1,1,0.5601840019226074
Junichiro Koizumi,0.2,3,1,1,0.538510262966156
Junichiro Koizumi,0.3,3,1,1,0.49351853132247925
Junichiro Koizumi,0.4,3,1,1,0.4648488759994507
Junichiro Koizumi,0.5,3,1,1,0.4179896414279938
Junichiro Koizumi,0.6,3,1,0,0.18069984018802643
Junichiro Koizumi,0.7,3,0,0,nan
Junichiro Koizumi,0.8,3,0,0,nan
Junichiro Koizumi,0.9,3,0,0,nan
Junichiro Koizumi,1.0,3,0,0,nan
Junichiro Koizumi,0.0,4,1,1,0.6243109107017517
Junichiro Koizumi,0.1,4,1,1,0.63152676820755
Junichiro Koizumi,0.2,4,1,1,0.6419035792350769
Junichiro Koizumi,0.3,4,1,1,0.6278300881385803
Junichiro Koizumi,0.4,4,1,1,0.5738040208816528
Junichiro Koizumi,0.5,4,1,1,0.492092102766037
Junichiro Koizumi,0.6,4,0,0,nan
Junichiro Koizumi,0.7,4,0,0,nan
Junichiro Koizumi,0.8,4,0,0,nan
Junichiro Koizumi,0.9,4,0,0,nan
Junichiro Koizumi,1.0,4,0,0,nan
Junichiro Koizumi,0.0,5,1,1,0.5480572581291199
Junichiro Koizumi,0.1,5,1,1,0.5457607507705688
Junichiro Koizumi,0.2,5,1,1,0.5336744785308838
Junichiro Koizumi,0.3,5,1,1,0.5281434655189514
Junichiro Koizumi,0.4,5,1,1,0.45281875133514404
Junichiro Koizumi,0.5,5,1,0,0.29688748717308044
Junichiro Koizumi,0.6,5,1,0,0.17252016067504883
Junichiro Koizumi,0.7,5,0,0,nan
Junichiro Koizumi,0.8,5,0,0,nan
Junichiro Koizumi,0.9,5,0,0,nan
Junichiro Koizumi,1.0,5,0,0,nan
David Beckham,0.0,0,1,1,0.3989156484603882
David Beckham,0.1,0,1,1,0.40584543347358704
David Beckham,0.2,0,1,1,0.41067200899124146
David Beckham,0.3,0,1,1,0.4246143698692322
David Beckham,0.4,0,1,1,0.4060080945491791
David Beckham,0.5,0,1,1,0.4262455105781555
David Beckham,0.6,0,1,0,0.28538820147514343
David Beckham,0.7,0,0,0,nan
David Beckham,0.8,0,0,0,nan
David Beckham,0.9,0,0,0,nan
David Beckham,1.0,0,0,0,nan
David Beckham,0.0,1,1,0,0.34666502475738525
David Beckham,0.1,1,1,0,0.34961748123168945
David Beckham,0.2,1,1,1,0.3662322759628296
David Beckham,0.3,1,1,0,0.3537628948688507
David Beckham,0.4,1,1,0,0.3296731412410736
David Beckham,0.5,1,1,0,0.19612368941307068
David Beckham,0.6,1,1,0,0.12041924148797989
David Beckham,0.7,1,0,0,nan
David Beckham,0.8,1,0,0,nan
David Beckham,0.9,1,0,0,nan
David Beckham,1.0,1,0,0,nan
David Beckham,0.0,2,1,0,0.26916778087615967
